id,category,active,set_question,help_information,answer_set,has_sub_question,sub_question_group
1,0,Will responsible purchasing policies be used within your business?    ,Responsible purchasing is about buying goods and services whose life cycle has a positive environmental\, social and economic impact\, more respectful to people and the planet.https://www.abeautifulgreen.com/en/responsible-purchasing-policy/,3,0,0,1
2,0,Do you plan to use F-skattsedel for your business? ,Approved for F-tax means that you are responsible for paying preliminary tax and self-employed contributions on your income from any work you carry out. If you are approved for F-tax\, your clients should not deduct tax from your earnings or pay employer contributions on them. Om du visar med ett registerutdrag att du Ã¤r godkÃ¤nd fÃ¶r F-skatt eller anger att du Ã¤r godkÃ¤nd fÃ¶r F-skatt pÃ¥ faktura\, offert\, anbud eller liknande\, ska utbetalaren inte dra skatt eller betala socialavgifter. https://www.skatteverket.se/servicelankar/otherlanguages/inenglish/businessesandemployers/startingandrunningaswedishbusiness/registeringabusiness/approvalforftax.4.676f4884175c97df4192308.html,3,0,0,1
3,0,Is it likely for your business to expand in the next few years? ,e.g hiring employees\, generating more profit\, expanding office or area of work,3,0,0,1
4,0,Would your business idea help generate profit for other companies ?,,3,0,0,1
5,0,Is it possible for the business to be developped without additional investments and infrastructure ?,Is it possible for the business to expand without changing the major structure of the company. Having a planned scalable business from the start could improve the success of growing the business. ,3,0,0,1
6,0,Are the produced services or goods affordable for the targeted customer ?,The price the customer pay might change\, the price at the supplier might change. Keeping records and comparing prices against other similar business might help indicate a resonable price for at certain product or service.,3,0,0,1
7,0,How many existing competing market solutions would you estimate exist ? ,,5,0,0,1
8,0,How much energy do you estimate your business will use ?,100\,000-500\,000 kWh/â€‹year is considered normal for small industries\, BRFs and larger office landscapes. https://www.fortum.se/foretag/elavtal/teckna-elavtal-till-foretaget/medelstor-elforbrukning,5,0,0,1
9,0,Do you plan to use renewable energy for most of the energy consumption ? ,Renewable energy consumption is the ratio between the gross inland consumption of energy from renewable sources and the total (primary) gross inland energy consumption calculated for a calendar year. https://www.eea.europa.eu/data-and-maps/indicators/renewable-energy-consumption-outlook-from-iea,3,0,0,1
10,0,Do you plan to invest to make your business more green ?,For a company that wants to invest in green energy there is allowence to apply for that could help developing a business in a more sustainable way.,3,0,0,1
11,0,Is it ahead of the technology compared to existing market solutions?,,3,0,0,1
12,0,By changing your processes to be more ecological\, would your company still be able to satisfy customer needs?,,3,0,0,1
13,1,Are there any measures taken to improve working conditions ? ,Good working conditions are employees e.g are given the opportunity to work from home\, participate in the planning of their schedule and have a reasonable workload.,4,0,0,1
14,1,Are there any measures taken to improve safety in the work environment ?,e.g having a safety representative\, risks assesments\, annual follow-ups \, https://www.av.se/en/work-environment-work-and-inspections/work-with-the-work-environment/tips-and-guidance-for-your-work-environment-management/,4,0,0,1
15,1,Are there planned measures to prevent risks of child labour or social damage? ,,4,0,0,1
16,1,Are there any risks today or in the future of an unhealthy work environment ? ,,4,0,0,1
17,1,Is there a plan to allow for employees to have an health care hour (friskvärd),1,3,0,0,1
18,1,Does the company plan to pay travel expenses to the employees?,,3,0,0,1
19,1,To what extent do you plan to include the employees in the company s decision making?,,4,0,0,1
20,1,Is the working environment suitable for people with disabilities?,,3,0,0,1
21,1,Do you have a strategy in order to support employment of staff with diverging ages\, gender and religious views?,,3,0,0,1
22,1,Do you have a stategy to ensure equal pay regardless of gender?,,3,0,0,1
23,1,Do you plan to hire people from diverging age groups ?,,3,0,0,1
24,1,Is there any plan to allow for interships and aprentices?,,3,0,0,1
25,1,Are there any collective agreements for employees ? ,A collective agreement is a written agreement between an employer and a union and contains rules on\, among other things\, salary and employment conditions.,4,0,0,1
26,2,Is the process going to use extracted raw materials?,Material extraction is the creation\, collection\, or extraction of raw material for the production of goods and services\, especially directly from the natural environment. This includes all activities such as harvesting\, mining\, lumbering\, fishing\, etc. Common raw matereals are metal\, coal\, oil. ,2,0,0,1
27,2,Are fossil fuels planned to be used in some parts of the business process ?,A fossil fuel is a hydrocarbon-containing material formed naturally in the earth's crust from the remains of dead plants and animals that is extracted and burned as a fuel. Common fossil fules are e.g coal\, crude oil and natural gas. https://en.wikipedia.org/wiki/Fossil_fuel ,5,0,0,1
28,2,Are carbon dioxide emissions going to occur in some parts of the business process ?,Industry and transportation has the highest impact on carbon dioxide emission in sweden kÃ¤lla:Energimyndigheten PDF sida:15,2,0,0,1
